Review,Sentiment
Ok so heres a honest review of this product If youre into listening to music and watching videos this is a great product though the downside of this product is that 1 It doesnt have an inbuilt  more,Positive
Good,Positive
Battery backup not good for buds,Negative
Nice product but battery  backup low,Positive
But one side not work not charged and not connected after 10 days not good work,Negative
Very nice product good quality product in this price seriously just go for it,Positive
I like you my gifts  get me,Neutral
Value of money,Neutral
Super product flash light available Bluetooth to phone connect the charging,Positive
Super,Positive
Main charging battery to buds failed down in 6 months,Negative
The buds are real good and sound is also good but average product for gaming but value for money on this product daily life we will be useful this item,Positive
Very bad,Negative
So very very nice ,Positive
Quality iz good,Positive
No good,Negative
Super ,Positive
Nice product ,Positive
Its a very good earbuds in its price Its a crazy earbuds,Positive
Best Earbuds In Under 500 Range And Nice,Positive
Nice one ,Positive
Best in this price,Positive
Best hai,Positive
Too good sound and battery backup good features to use it,Positive
Velue for money good product batter then market Thank you flipkart,Positive
Very good product,Positive
Not extra ordinary but good Value for money,Positive
This product is awesome according to price this product is good,Positive
Nice on this price,Positive
Parfect this price,Neutral
Shandar product,Neutral
Hi i am Mohit Sohite This product is Amazing  Beutiful sound and amezing quality ,Positive
Nice product Thank you Flipkart,Positive
Bast product,Neutral
Good,Positive
Nice quality sound system is very good all over it is a nice productthank you flipcurt,Positive
Best product,Positive
Very nice,Positive
Nice,Positive
Most beautiful,Positive
Product is very good,Positive
Quality is good I like it but the design is not that much good,Positive
Good product very nice,Positive
Good product low price the best product But Left Side probal voice slip down auto voice problem only Product ok done,Positive
Good chipset price good quality,Positive
Sound is great  Bass is good  Design is not good  Battery Backup very very good  Value is great great great great ,Positive
It hasnt got that shining colour and its black in colour I would say the product is worth its price and is very good It is an amazing product worth buying,Positive
Not working both in one time,Neutral
All is good and audio call is not working,Positive
Not Bad Product avarage price correct and flashlight op I think my Headphones preuse  Because many scratches on Display and something problem my Headphones,Positive
